11:41:23.712 [main] INFO org.flywaydb.core.FlywayExecutor -- Database: jdbc:postgresql://127.0.0.1:40037/nq_b2_env_full (PostgreSQL 16.15)
11:41:23.790 [main] INFO org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory -- Schema history table "public"."flyway_schema_history" does not exist yet
11:41:23.796 [main] INFO org.flywaydb.core.internal.command.DbValidate -- Successfully validated 48 migrations (execution time 00:00.059s)
11:41:23.806 [main] INFO org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory -- Creating Schema History table "public"."flyway_schema_history" ...
11:41:24.186 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "15 - gateh pre instrument catalog"
11:41:24.202 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "16 - gate h2 marketdata ingestion"
11:41:24.227 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "17 - gate h2 ingestion created by width"
11:41:24.235 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "18 - gate h3 marketdata dataset binding"
11:41:24.259 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "19 - gate i1 strategy versions"
11:41:24.275 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "20 - gate i2 backtest traceability"
11:41:24.293 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "21 - gate i3 paper trading"
11:41:24.327 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "22 - gate i4 paper trading monitor"
11:41:24.365 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "23 - gate j1 paper run schedules"
11:41:24.392 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "24 - gate j2 paper run daily reports alerts"
11:41:24.414 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "25 - gate j3 paper run recovery stability"
11:41:24.438 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "26 - schema comment business normalization"
11:41:24.486 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "27 - schema master table governance"
11:41:24.497 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "28 - schema research backtest config governance"
11:41:24.511 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "29 - schema credential revocation governance"
11:41:24.533 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "30 - schema credential enable audit event"
11:41:24.542 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "31 - schema credential permission probe"
11:41:24.556 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "32 - gate r shadow run fact model"
11:41:24.597 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "33 - gate v validation review fact model"
11:41:24.626 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "34 - gate w3 venue rule facts"
11:41:24.646 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "35 - gate w4 durable kill switch"
11:41:24.666 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "36 - gate x2 shadow run provenance"
11:41:24.676 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "37 - gate x4b persistent artifact locator"
11:41:24.690 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "38 - gate x5a admission materialization guard"
11:41:24.720 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "39 - gate y2 live session fact model"
11:41:24.795 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "40 - gate y6d pilot scope prerequisite fact model"
11:41:24.847 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "41 - gate y6e minimum order value semantic remediation"
11:41:24.867 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "42 - gate y minimal live pilot execution lease"
11:41:24.892 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "43 - gate y current market snapshot"
11:41:24.912 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "44 - gate y operator pilot authority"
11:41:24.946 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "45 - gate y pre place zero intent recovery"
11:41:24.972 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "46 - gate y attempt level terminal lease regeneration"
11:41:24.989 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "47 - order state optimistic concurrency"
11:41:24.997 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "48 - reconciliation scan cursor"
11:41:25.008 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Successfully applied 48 migrations to schema "public", now at version v48 (execution time 00:00.801s)
FULL_DB_READY db=nq_b2_env_full orders=0 trades=0 ledger=0 accounts=1 schema=48
