candidateId,path,symbol,language,role,runtimeReachability,compileConsumers,runtimeConsumers,reflectionConsumers,configurationConsumers,testConsumers,scriptConsumers,historicalReferences,safetyRole,compatibilityRole,qualificationRole,canonicalProductionCounterpart,canonicalTestCounterpart,uniqueAssertionCount,uniqueBehaviorCovered,currentExecutionStatus,finalDisposition,reason,verification
L-012,backend/nq-adapter-binance/src/main/java/com/guidinglight/nexusquant/adapter/binance/ws/BinanceWsSmokeRunner.java,BinanceWsSmokeRunner,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Component,ConditionalOnProperty,Profile",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-013,backend/nq-api/src/main/java/com/guidinglight/nexusquant/api/web/config/OpenApiSecurityConfiguration.java,OpenApiSecurityConfiguration,Java,zero direct name reference candidate,annotation metadata,0 observed,annotation metadata,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,OpenAPI @SecurityScheme supplies bearerAuth annotation metadata,Token scan across main/test/config/scripts; annotation and application component-scan review
L-014,backend/nq-api/src/main/java/com/guidinglight/nexusquant/paper/api/web/PaperPortfolioController.java,PaperPortfolioController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"ConditionalOnBean,RestController",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-015,backend/nq-api/src/main/java/com/guidinglight/nexusquant/paper/api/web/PaperTradingController.java,PaperTradingController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"ConditionalOnBean,RestController",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-016,backend/nq-api/src/main/java/com/guidinglight/nexusquant/paper/api/web/PaperTradingScheduleController.java,PaperTradingScheduleController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"ConditionalOnBean,RestController",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-017,backend/nq-api/src/main/java/com/guidinglight/nexusquant/research/api/web/PublishController.java,PublishController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"ConditionalOnBean,RestController",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-018,backend/nq-api/src/main/java/com/guidinglight/nexusquant/strategy/api/web/StrategyDefinitionController.java,StrategyDefinitionController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,RestController,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-019,backend/nq-api/src/main/java/com/guidinglight/nexusquant/strategy/api/web/StrategyRunController.java,StrategyRunController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,RestController,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-020,backend/nq-api/src/main/java/com/guidinglight/nexusquant/strategy/api/web/StrategyScheduleController.java,StrategyScheduleController,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,RestController,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-021,backend/nq-app/src/main/java/com/guidinglight/nexusquant/app/config/auth/AuthBootstrapAdminConfiguration.java,AuthBootstrapAdminConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,ConditionalOnProperty,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-022,backend/nq-app/src/main/java/com/guidinglight/nexusquant/app/config/auth/AuthModuleConfiguration.java,AuthModuleConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-023,backend/nq-app/src/main/java/com/guidinglight/nexusquant/app/config/auth/AuthSeedConfiguration.java,AuthSeedConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Configuration,Profile",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-024,backend/nq-app/src/main/java/com/guidinglight/nexusquant/app/config/trading/TradingRuntimeConfiguration.java,TradingRuntimeConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-025,backend/nq-app/src/main/java/com/guidinglight/nexusquant/app/livecontrol/executionworker/DisposableFakeVenueLauncher.java,DisposableFakeVenueLauncher,Java,zero direct name reference candidate,disposable CLI main,0 observed,disposable CLI main,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,none,historical process reproduction,,,,,,KEEP_FORMAL_QUALIFICATION_SUPPORT,Isolated loopback fake venue remains historical real-process reproduction support,Token scan across main/test/config/scripts; annotation and application component-scan review
L-026,backend/nq-app/src/main/java/com/guidinglight/nexusquant/integration/dh/transport/DisabledDhDryRunTransport.java,DisabledDhDryRunTransport,Java,zero direct name reference candidate,optional no-outbound implementation,0 observed,optional no-outbound implementation,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,no outbound,none,none,,,,,,KEEP_SAFETY_FALLBACK,Explicit no-outbound transport returns CLIENT_DISABLED and preserves diagnostic fail-closed option,Token scan across main/test/config/scripts; annotation and application component-scan review
L-027,backend/nq-backtest/src/main/java/com/guidinglight/nexusquant/research/backtest/config/BacktestDomainConfiguration.java,BacktestDomainConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-028,backend/nq-contracts/src/main/java/com/guidinglight/nexusquant/contracts/event/LedgerEntryCreatedPayload.java,LedgerEntryCreatedPayload,Java,zero direct name reference candidate,event serialization type,0 observed,event serialization type,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,serialized event identity,none,,,,,,KEEP_ACTIVE_COMPATIBILITY,Jackson event payload is a public serialized contract,Token scan across main/test/config/scripts; annotation and application component-scan review
L-029,backend/nq-contracts/src/main/java/com/guidinglight/nexusquant/contracts/event/OrderSubmitted.java,OrderSubmitted,Java,zero direct name reference candidate,event serialization type,0 observed,event serialization type,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,serialized event identity,none,,,,,,KEEP_ACTIVE_COMPATIBILITY,Jackson event payload is a public serialized contract,Token scan across main/test/config/scripts; annotation and application component-scan review
L-030,backend/nq-contracts/src/main/java/com/guidinglight/nexusquant/contracts/event/PositionUpdatedPayload.java,PositionUpdatedPayload,Java,zero direct name reference candidate,event serialization type,0 observed,event serialization type,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,serialized event identity,none,,,,,,KEEP_ACTIVE_COMPATIBILITY,Jackson event payload is a public serialized contract,Token scan across main/test/config/scripts; annotation and application component-scan review
L-031,backend/nq-contracts/src/main/java/com/guidinglight/nexusquant/contracts/event/RiskDecisionPayload.java,RiskDecisionPayload,Java,zero direct name reference candidate,event serialization type,0 observed,event serialization type,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,serialized event identity,none,,,,,,KEEP_ACTIVE_COMPATIBILITY,Jackson event payload is a public serialized contract,Token scan across main/test/config/scripts; annotation and application component-scan review
L-032,backend/nq-contracts/src/main/java/com/guidinglight/nexusquant/contracts/event/TradeFilledPayload.java,TradeFilledPayload,Java,zero direct name reference candidate,event serialization type,0 observed,event serialization type,not required for KEEP,none observed,0 observed,not required for KEEP,historical snapshots retained,none,serialized event identity,none,,,,,,KEEP_ACTIVE_COMPATIBILITY,Jackson event payload is a public serialized contract,Token scan across main/test/config/scripts; annotation and application component-scan review
L-033,backend/nq-core/src/main/java/com/guidinglight/nexusquant/strategy/application/port/ManualStrategyTriggerGateway.java,ManualStrategyTriggerGateway,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Component,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-034,backend/nq-eval/src/main/java/com/guidinglight/nexusquant/research/eval/config/EvaluationDomainConfiguration.java,EvaluationDomainConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Component,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-035,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/infra/config/InfraModuleConfiguration.java,InfraModuleConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Configuration,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-036,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/adapter/AdapterHistoricalKlineProvider.java,AdapterHistoricalKlineProvider,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Component,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-037,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/config/MarketdataModuleConfiguration.java,MarketdataModuleConfiguration,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,"Bean,Configuration",0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-038,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/jdbc/JdbcMarketdataDatasetRepository.java,JdbcMarketdataDatasetRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-039,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/jdbc/JdbcMarketdataIngestionJobRepository.java,JdbcMarketdataIngestionJobRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-040,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/jdbc/JdbcMarketdataQualityOverviewRepository.java,JdbcMarketdataQualityOverviewRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-041,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/marketdata/infra/jdbc/JdbcMarketdataReadinessRepository.java,JdbcMarketdataReadinessRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-042,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcBacktestConfigRepository.java,JdbcBacktestConfigRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-043,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcBacktestRunRepository.java,JdbcBacktestRunRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-044,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcSimOrderRepository.java,JdbcSimOrderRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-045,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcSimPnlSnapshotRepository.java,JdbcSimPnlSnapshotRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-046,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcSimPositionRepository.java,JdbcSimPositionRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-047,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/backtest/jdbc/JdbcSimTradeRepository.java,JdbcSimTradeRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-048,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/eval/jdbc/JdbcBacktestEvaluationQueryPort.java,JdbcBacktestEvaluationQueryPort,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-049,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/eval/jdbc/JdbcBacktestEvaluationReportRepository.java,JdbcBacktestEvaluationReportRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-050,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/jdbc/JdbcExecutionStrategyDefinitionWriter.java,JdbcExecutionStrategyDefinitionWriter,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-051,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/jdbc/JdbcResearchConfigRepository.java,JdbcResearchConfigRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-052,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/jdbc/JdbcSourceStrategySnapshotRepository.java,JdbcSourceStrategySnapshotRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-053,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/jdbc/JdbcStrategyVersionSnapshotQueryPort.java,JdbcStrategyVersionSnapshotQueryPort,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-054,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcEmergencyStopEventRepository.java,JdbcEmergencyStopEventRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-055,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperRunHeartbeatRepository.java,JdbcPaperRunHeartbeatRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-056,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperRunRecoveryEventRepository.java,JdbcPaperRunRecoveryEventRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-057,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperRunScheduleFireRepository.java,JdbcPaperRunScheduleFireRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-058,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperRunScheduleRepository.java,JdbcPaperRunScheduleRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-059,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperRunStabilityCheckRepository.java,JdbcPaperRunStabilityCheckRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
L-060,backend/nq-infra/src/main/java/com/guidinglight/nexusquant/research/infra/paper/jdbc/JdbcPaperTradingPositionRepository.java,JdbcPaperTradingPositionRepository,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Repository,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
